Objeto,Fornecedor,Período da contratação,E-mail,Telefone
"PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO CONTRA BARATAS, TRAÇAS, LACRAIAS E FORMIGAS E DE DESRATIZAÇÃO NAS DIVERSAS UNIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",NOVA INSET VIP IMUNIZAÇÕES LTDA.,,contato@insetglobal.com.br,(21) 2596-5490
"Prestação de serviços de Coleta, Entrega e Custódia de Mídias Magnéticas e Ópticas em Fitoteca de Segurança Externa.",SOS TECNOLOGIA E GESTÃO DA INFORMAÇÃO LTDA,,, 61 99855-8988
"Prestação de serviços de Coleta, Entrega e Custódia de Mídias Magnéticas e Ópticas em Fitoteca de Segurança Externa.",TLMS SISTEMAS DE ADMINISTRAÇÃO DE FITOTECA LTDA,,, 2523-9721
"Prestação de serviços de Coleta, Entrega e Custódia de Mídias Magnéticas e Ópticas em Fitoteca de Segurança Externa.",RIOOFFSITE SERVIÇOS DE FITOTECA LTDA,,, 21 97034 5929
"PRESTAÇÃO DE SERVIÇO VISANDO FORNECIMENTO DE LICENCENCIAMENTO ANUAL DE SERVIÇO CONTINUADO GOOGLE MAPS PLATAFORM, COM SUPORTE TÉCNICO DE 12 (DOZE) MESES.",LBS Local S.A (MAPLINK),,,(11) 3047-8400
"PRESTAÇÃO DE SERVIÇO VISANDO FORNECIMENTO DE LICENCENCIAMENTO ANUAL DE SERVIÇO CONTINUADO GOOGLE MAPS PLATAFORM, COM SUPORTE TÉCNICO DE 12 (DOZE) MESES.",IPNET SERVIÇOS EM NUVEME DESENVOLVIMENTO DE SISTEMAS LTDA,,,(21) 996956326
"PRESTAÇÃO DE SERVIÇO VISANDO FORNECIMENTO DE LICENCENCIAMENTO ANUAL DE SERVIÇO CONTINUADO GOOGLE MAPS PLATAFORM, COM SUPORTE TÉCNICO DE 12 (DOZE) MESES.",SERVIBRASIL SOLUÇÕES EM TECNOLOGIA DA INFORMAÇÃO LTDA,,, (11) 5499 3435
"PRESTAÇÃO DE SERVIÇO VISANDO FORNECIMENTO DE LICENCENCIAMENTO ANUAL DE SERVIÇO CONTINUADO GOOGLE MAPS PLATAFORM, COM SUPORTE TÉCNICO DE 12 (DOZE) MESES.",GEOAMBIENTE SENSORIAMENTO LTDA,,,(12) 99637-7818
Serviços de fusão e certificação em cabos de fibra ótica. Os serviços requisitados servirão para a interligação de dois segmentos de fibra ótica abertos por desativação de duas unidades (Guarda Municipal Bambina e MultRio) existente no anel ótico da Rede Comep em Botafogo.,FNT TELECOMUNICAÇÕES E ACESSO A REDES DE INTERNET LTDA,,victor@fnttelecom.com.br, (21) 3861-9068 / (21) 98288-6303 
Serviços de fusão e certificação em cabos de fibra ótica. Os serviços requisitados servirão para a interligação de dois segmentos de fibra ótica abertos por desativação de duas unidades (Guarda Municipal Bambina e MultRio) existente no anel ótico da Rede Comep em Botafogo.,DCTEL TELECOMUNICAÇÕES LTDA,,daniel@dcteltelecom.com.br,21 96973-2444
Serviços de fusão e certificação em cabos de fibra ótica. Os serviços requisitados servirão para a interligação de dois segmentos de fibra ótica abertos por desativação de duas unidades (Guarda Municipal Bambina e MultRio) existente no anel ótico da Rede Comep em Botafogo.,7LAN COMÉRCIO E SERVIÇOS EIRELI,,atendimento@7lan.com.br, (21) 2240-0520
Serviços de fusão e certificação em cabos de fibra ótica. Os serviços requisitados servirão para a interligação de dois segmentos de fibra ótica abertos por desativação de duas unidades (Guarda Municipal Bambina e MultRio) existente no anel ótico da Rede Comep em Botafogo.,TAREA GERENCIAMENTO LTDA ,,marcos.souza@tarea.com.br, 61 99157-2567
"PRESTAÇÃO DE SERVIÇOS DE LICENCIAMENTO / SUBSCRIÇÃO DE SOLUÇÃO TRENDMICRO PARA PROTEÇÃO DE ENDPOINTS E SERVIDORES, INCLUINDO MÓDULO DE DETECÇÃO E RESPOSTA MULTICAMADAS.",MINDWORKS INFORMÁTICA LTDA.,,luiz.silva@mindworks.com.br,51 3023-4139 / 51 98333 0001
"PRESTAÇÃO DE SERVIÇOS DE LICENCIAMENTO / SUBSCRIÇÃO DE SOLUÇÃO TRENDMICRO PARA PROTEÇÃO DE ENDPOINTS E SERVIDORES, INCLUINDO MÓDULO DE DETECÇÃO E RESPOSTA MULTICAMADAS.",NETCENTER INFORMATCIA LTDA.,,claudio.medeiros@netcenter.com.br, 21 4501-4005 | 21 99526-2763
"PRESTAÇÃO DE SERVIÇOS DE LICENCIAMENTO / SUBSCRIÇÃO DE SOLUÇÃO TRENDMICRO PARA PROTEÇÃO DE ENDPOINTS E SERVIDORES, INCLUINDO MÓDULO DE DETECÇÃO E RESPOSTA MULTICAMADAS.",NETSECURITY TECNOLOGIA LTDA,,leandro.bem@netsecurity.com.br, 11 5089-2095 | 21 98843-3500
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA, CORRETIVA, PROGRAMADA, EMERGENCIAL, EVOLUTIVA E ASSISTÊNCIA TÉCNICA, COM FORNECIMENTO DE PEÇAS E CONSUMÍVEIS, DOS SISTEMAS E SUBSISTEMAS QUE COMPÕEM A INFRAESTRUTURA DO AMBIENTE DA SALA COFRE CERTIFICADA NO DATA CENTER DO IPLANRIO",GREEN4T SOLUÇÕES TI LTDA,,licitacao@green4t.com, (11) 99175-3610
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DOS SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA, CORRETIVA, PROGRAMADA, EMERGENCIAL, EVOLUTIVA E ASSISTÊNCIA TÉCNICA, COM FORNECIMENTO DE PEÇAS E CONSUMÍVEIS, DOS SISTEMAS E SUBSISTEMAS QUE COMPÕEM A INFRAESTRUTURA DO AMBIENTE DA SALA COFRE CERTIFICADA NO DATA CENTER DO IPLANRIO",TBS CLIMATIZAÇÃO E MANUTENCAO PREDIAL LTDA,,kleber.silveira@tbservice.com.br,(11) 3218 0333
"Contratação de agente de integração especializado, conforme previsto na Lei Federal nº 11.788/2008 e na Portaria IplanRio n.º 272/2019, para prestação de serviços de administração de Programa de Estágio para atender a Empresa Municipal de Informática S.A – IPLANRIO.","INSTITUTO DE PROMOCAO HUMANA, APRENDIZAGEM E CULTURA   -  (IPHAC)",,juridico@iphac.org.br,62 99268 9475 / 62 3092 2009
"Contratação de agente de integração especializado, conforme previsto na Lei Federal nº 11.788/2008 e na Portaria IplanRio n.º 272/2019, para prestação de serviços de administração de Programa de Estágio para atender a Empresa Municipal de Informática S.A – IPLANRIO.",CENTRO DE INTEGRAÇÃO EMPRESA-ESCOLA DO ESTADO DO RIO DE JANEIRO - (CIEE - RJ),,alanaj@cieerj.org.br,21 99769-5458 / 21 2505 1251
"Contratação de agente de integração especializado, conforme previsto na Lei Federal nº 11.788/2008 e na Portaria IplanRio n.º 272/2019, para prestação de serviços de administração de Programa de Estágio para atender a Empresa Municipal de Informática S.A – IPLANRIO.",FGR CONSULTORIA E TREINAMENTO LTDA  -  (SUPER ESTÁGIOS),,ricardo.brito@superestagios.rio.br,21 97540 2002  /  21 96830-9676
"Contratação de agente de integração especializado, conforme previsto na Lei Federal nº 11.788/2008 e na Portaria IplanRio n.º 272/2019, para prestação de serviços de administração de Programa de Estágio para atender a Empresa Municipal de Informática S.A – IPLANRIO.",AGENCIA DE INTEGRAÇÃO EMPRESA ESCOLA LTDA EPP  - (AGIEL),,licitacoes@agiel.com.br, 31 4141 3200 / 37 3232 1179
"Contratação de agente de integração especializado, conforme previsto na Lei Federal nº 11.788/2008 e na Portaria IplanRio n.º 272/2019, para prestação de serviços de administração de Programa de Estágio para atender a Empresa Municipal de Informática S.A – IPLANRIO.",UNIVERSIDADE PATATIVA DO ASSARÉ - (UPA),,licitaupa@hotmail.com, 88 99961-3130 / 88 3512 2450
"Contratação de agente de integração especializado, conforme previsto na Lei Federal nº 11.788/2008 e na Portaria IplanRio n.º 272/2019, para prestação de serviços de administração de Programa de Estágio para atender a Empresa Municipal de Informática S.A – IPLANRIO.",CENTRO INTEGRADO DE ESTUDOS E PROGRAMAS DE DESENVOLVIMENTO SUSTENTÁVEL  -  (CIEDS),,rogerio@coletivoaprendiz.org.br,21 98124 0102 / 21 2518 1833
PRESTAÇÃO DE SERVIÇO DE LOCALIZAÇÃO E GERENCIAMENTO DE ENERGIA ELÉTRICA ,BMA COM E SOLUÇÕES ,,bmadidaticos@gmail.com,(11) 9 8131-1424
PRESTAÇÃO DE SERVIÇO DE LOCALIZAÇÃO E GERENCIAMENTO DE ENERGIA ELÉTRICA ,INOVAÇÃO,,leonardo@mastertools.com.br,(31) 3398-0232 - (31) 3352-3888
PRESTAÇÃO DE SERVIÇO DE LOCALIZAÇÃO E GERENCIAMENTO DE ENERGIA ELÉTRICA ,OUROLUX,,licitacao1@ourolux.com.br,(11) 2172-1112 - (11) 95248-3423
PRESTAÇÃO DE SERVIÇO DE LOCALIZAÇÃO E GERENCIAMENTO DE ENERGIA ELÉTRICA ,ALPHA CENTAURI,,alpha-cent@outlook.com,(081) 98299-1724 - (081) 3106-1150
PRESTAÇÃO DE SERVIÇO DE LOCALIZAÇÃO E GERENCIAMENTO DE ENERGIA ELÉTRICA ,JF DE MORAIS CONSTRUÇÕES,,CONSTRUCOESEVOLUTION@GMAIL.COM,(92) 3232-7748/99271-3060
PRESTAÇÃO DE SERVIÇO DE LOCALIZAÇÃO E GERENCIAMENTO DE ENERGIA ELÉTRICA ,DE LORENZO DO BRASIL,,delorenzo@delorenzo.com.br,(11) 3279-4460
PRESTAÇÃO DE SERVIÇO DE LOCALIZAÇÃO E GERENCIAMENTO DE ENERGIA ELÉTRICA ,VIDA DE SÍLIO,,contato@vidadesilicio.com.br,(27) 99983-5537
"Registro de Preços para Prestação de Serviços de Licenciamento perpétuo, suporte e atualização de software  VMWARE",EM2 IT SOLUTIONS SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO LTDA. LTDA,,vlamir.mattiolli@em2it.com.br,11 2339- 1004
"Registro de Preços para Prestação de Serviços de Licenciamento perpétuo, suporte e atualização de software  VMWARE",PPN TECNOLOGIA E INFORMÁTICA LTDA,,comercial@ppntecnologia.com.br, 61 3963-0266
"Registro de Preços para Prestação de Serviços de Licenciamento perpétuo, suporte e atualização de software  VMWARE",FUTTURA DISTRIBUIÇÃO COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA,,raphael@futturaam.com.br,92 ] 3646-5335
"Registro de Preços para Prestação de Serviços de Licenciamento perpétuo, suporte e atualização de software  VMWARE",LENI S SILVA DE LUCENA - EPP,,tubaraosoftware@gmail.com, 11  99475 3565
AQUISIÇÃO E INSTALAÇÃO DE MURAIS INTERNOS COM OBJETIVO DE VEICULAR INFORMATIVOS PERIÓDICOS ,R2W  GRAFICA E EDITORA - EIRELI,,,(43) 9.9915-0460
AQUISIÇÃO E INSTALAÇÃO DE MURAIS INTERNOS COM OBJETIVO DE VEICULAR INFORMATIVOS PERIÓDICOS ,ACRILZANO ARTEFATOS DE ACRILICO EIRELI ,,,(21) 3372-3797
AQUISIÇÃO E INSTALAÇÃO DE MURAIS INTERNOS COM OBJETIVO DE VEICULAR INFORMATIVOS PERIÓDICOS ,JERONIMO CARVALHO ARTE DIGITAL,,,21 98175-5298
AQUISIÇÃO E INSTALAÇÃO DE MURAIS INTERNOS COM OBJETIVO DE VEICULAR INFORMATIVOS PERIÓDICOS ,ACRILICO CENTER INDUSTRIA E COMERCIO EIRELI,,,(62) 3587 5357
AQUISIÇÃO E INSTALAÇÃO DE MURAIS INTERNOS COM OBJETIVO DE VEICULAR INFORMATIVOS PERIÓDICOS ,SL CRIL INDUSTRIA E COMÉRCIO LTDA ,,, (11) 3954 9999
AQUISIÇÃO E INSTALAÇÃO DE MURAIS INTERNOS COM OBJETIVO DE VEICULAR INFORMATIVOS PERIÓDICOS ,ETIPLASTI COM. E SERVIÇOS EM PLÁSTICOS LTDA. EPP,,,(47) 3273-6060
AQUISIÇÃO E INSTALAÇÃO DE MURAIS INTERNOS COM OBJETIVO DE VEICULAR INFORMATIVOS PERIÓDICOS ,HOPE NOBLE COMERCIAL LTDA,,,(11) 3858-8489
"Subscrição de licenças de Jira Software Cloud Premium, plugins extensores de funcionalidades, gerenciador de atendimento a clientes, extrator de dados, solução para trabalho em grupo prestação de serviços de atualização de versão, configuração da solução e treinamento, pelo período de 12 (doze) meses",SILVEIRA & MRACK LTDA.   ,,,51 3023-4139 / 51 98333 6543
"Subscrição de licenças de Jira Software Cloud Premium, plugins extensores de funcionalidades, gerenciador de atendimento a clientes, extrator de dados, solução para trabalho em grupo prestação de serviços de atualização de versão, configuração da solução e treinamento, pelo período de 12 (doze) meses",A-PLAYERS PRESTADORA DE SERVIÇOS EIRELI,,, 51 99818 8813 / 51 3017 1361
"Subscrição de licenças de Jira Software Cloud Premium, plugins extensores de funcionalidades, gerenciador de atendimento a clientes, extrator de dados, solução para trabalho em grupo prestação de serviços de atualização de versão, configuração da solução e treinamento, pelo período de 12 (doze) meses",CSP - CONSULTORIA & SISTEMAS LTDA,,, 34 99220 4880
"Subscrição de licenças de Jira Software Cloud Premium, plugins extensores de funcionalidades, gerenciador de atendimento a clientes, extrator de dados, solução para trabalho em grupo prestação de serviços de atualização de versão, configuração da solução e treinamento, pelo período de 12 (doze) meses",PRIME CONTROL CONSULTORIA LTDA.,,,11  95079 4402 / 41 3253 0521
"Subscrição de licenças de Jira Software Cloud Premium, plugins extensores de funcionalidades, gerenciador de atendimento a clientes, extrator de dados, solução para trabalho em grupo prestação de serviços de atualização de versão, configuração da solução e treinamento, pelo período de 12 (doze) meses",PRIME UP SOLUÇÕES EM TI LTDA.,,, 11 2844 4481 
 Aquisição de Patch Cord de Fibra Ótica para instalação de novos switches nos Hospitais Municipais Miguel Couto e Hospital Municipal Souza Aguiar.,CABOS GOLDEN AUDIO E VIDEO LTDA EPP,,,(11) 3226-2222
 Aquisição de Patch Cord de Fibra Ótica para instalação de novos switches nos Hospitais Municipais Miguel Couto e Hospital Municipal Souza Aguiar.,LANTELE COMERCIAL ELÉTRICA LTDA,,,(21) 2505-6073
 Aquisição de Patch Cord de Fibra Ótica para instalação de novos switches nos Hospitais Municipais Miguel Couto e Hospital Municipal Souza Aguiar.,NEWSCON TELEINFORMATICA LTDA.,,,(21) 3461-9339
 Aquisição de Patch Cord de Fibra Ótica para instalação de novos switches nos Hospitais Municipais Miguel Couto e Hospital Municipal Souza Aguiar.,C& R COM E SERV DE INST E MANUT EM TELECOMUNICAÇÕES LTDA,,,(21) 2024-6860
 Aquisição de Patch Cord de Fibra Ótica para instalação de novos switches nos Hospitais Municipais Miguel Couto e Hospital Municipal Souza Aguiar.,PRONTO REDES TELECOMUNICAÇÕES EIRELI,,, (21) 2516-1520
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇO DE LICENCIAMENTO E SUBSCRIÇÃO DE PRODUTOS MICROSOFT PARA AS EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS,SOLO NETWORK BRASIL LTDA,,galber.figueiredo@solonetwork.com.br, (41) 3051 7500
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇO DE LICENCIAMENTO E SUBSCRIÇÃO DE PRODUTOS MICROSOFT PARA AS EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS,AVIVATEC LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR LTDA,,financeiro@avivatec.com.br,11 3080-3520
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇO DE LICENCIAMENTO E SUBSCRIÇÃO DE PRODUTOS MICROSOFT PARA AS EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS,S4R TECNOLOGIA LTDA.,,priscila.cardoso@s4r.com.br,
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇO DE LICENCIAMENTO E SUBSCRIÇÃO DE PRODUTOS MICROSOFT PARA AS EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS,SOFTLINE INTERNATIONAL BRASIL COMERCIO E LICENCIAMENTO DE SOFTWARE EIRELI.,,surya.rebello@softline.com, 11 5188 8100
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇO DE LICENCIAMENTO E SUBSCRIÇÃO DE PRODUTOS MICROSOFT PARA AS EMPRESAS PÚBLICAS E SOCIEDADES DE ECONOMIA MISTA MUNICIPAIS,CLARO S/A.,,gisele.pimenta@embratel.com.br, 21 2121 3614 / 21 97594 3212
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS VISANDO AO FORNECIMENTO DE LICENCIAMENTO DE SERVIÇO CONTINUADO GOOGLE MAPS PLATFORM, COM SUPORTE TÉCNICO DE 24 (VINTE E QUATRO) MESES PELO FABRICANTE.",GEOAMBIENTE SENSORIAMENTO REMOTO LTDA,,, 12 99637-7818
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS VISANDO AO FORNECIMENTO DE LICENCIAMENTO DE SERVIÇO CONTINUADO GOOGLE MAPS PLATFORM, COM SUPORTE TÉCNICO DE 24 (VINTE E QUATRO) MESES PELO FABRICANTE.",SERVIBRASIL SOLUÇÕES EM TECNOLOGIA DA INFORMAÇÃO LTDA,,, 11 99957 3122
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS VISANDO AO FORNECIMENTO DE LICENCIAMENTO DE SERVIÇO CONTINUADO GOOGLE MAPS PLATFORM, COM SUPORTE TÉCNICO DE 24 (VINTE E QUATRO) MESES PELO FABRICANTE.",SOFTWAREONE COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA,,,(11) 3796-5020
" Contratação de Solução de Segmentação de Rede, incluindo instalação, implantação, treinamento, garantia técnica e alocação de Técnico Residente por 24 meses.",SUNLIT DISTR E INFORMATICA EIRELI-EPP,,antonio@sunlit.com.br,11  2893 3021
" Contratação de Solução de Segmentação de Rede, incluindo instalação, implantação, treinamento, garantia técnica e alocação de Técnico Residente por 24 meses.",ASPER TECNOLOGIA LTDA.,,comercial@asperti.com.br,61 3047-8777
" Contratação de Solução de Segmentação de Rede, incluindo instalação, implantação, treinamento, garantia técnica e alocação de Técnico Residente por 24 meses.",INB TECNOLOGIA LTDA.,,milena@inbtec.com.br, 61  3034 6476  /  61  99908 3414
" Contratação de Solução de Segmentação de Rede, incluindo instalação, implantação, treinamento, garantia técnica e alocação de Técnico Residente por 24 meses.","CPD CONSULTORIA, PLANEJAMENTO E DESENVOLVIMENTO DE SISTEMAS LTDA",,christian.limp@cpd.com.br, 61 2104-3200 / 61 98134-7793
" Contratação de Solução de Segmentação de Rede, incluindo instalação, implantação, treinamento, garantia técnica e alocação de Técnico Residente por 24 meses.",INFOSAFE TECNOLOGIA DA INFORMAÇÃO LTDA,,carlos.andrade@infosafe.com.br,21 2018-2540 / 21 97519-9829
"SUBSCRIÇÃO DE LICENÇAS DE USO DO QLIK SENSE ENTERPRISE SAAS PROFESSIONAL, ANALYZER E CAPACITY E SERVIÇOS TÉCNICOS ESPECIALIZADOS NA FERRAMENTA PARA ATENDER ÀS NECESSIDADES DA IPLANRIO.","INTELIGENCIA DE NEGÓCIOS, SISTEMAS E INFORMÁTICA LTDA",,edilaine.costa@in1.com.br,61 3465 3035 / 61 99803 2602
"SUBSCRIÇÃO DE LICENÇAS DE USO DO QLIK SENSE ENTERPRISE SAAS PROFESSIONAL, ANALYZER E CAPACITY E SERVIÇOS TÉCNICOS ESPECIALIZADOS NA FERRAMENTA PARA ATENDER ÀS NECESSIDADES DA IPLANRIO.",TOCCATO TECNOLOGIA EM SISTEMAS,,ana.claudia@toccato.com.br, 61 3225 2363
"SUBSCRIÇÃO DE LICENÇAS DE USO DO QLIK SENSE ENTERPRISE SAAS PROFESSIONAL, ANALYZER E CAPACITY E SERVIÇOS TÉCNICOS ESPECIALIZADOS NA FERRAMENTA PARA ATENDER ÀS NECESSIDADES DA IPLANRIO.",GRF TECNOLOGIA E INFORMÁTICA LTDA  -   ( DESQ ),,carla.gonzaga@desq.com.br, 62  3922  1151 / 62 3922 1147
"SUBSCRIÇÃO DE LICENÇAS DE USO DO QLIK SENSE ENTERPRISE SAAS PROFESSIONAL, ANALYZER E CAPACITY E SERVIÇOS TÉCNICOS ESPECIALIZADOS NA FERRAMENTA PARA ATENDER ÀS NECESSIDADES DA IPLANRIO.",TAREA GERENCIAMENTO LTDA ,,marcos.souza@tarea.com.br, 61 99157-2567
"PRESTAÇÃO DE SERVIÇOS PARA REALIZAÇÃO DE EVENTO INSTITUCIONAL, INCLUINDO ESPAÇO FÍSICO, BUFFET E SONORIZAÇÃO, DESTINADO AO CORPO FUNCIONAL DA EMPRESA MUNICIPAL DE INFORMÁTICA S.A - IPLANRIO, ALUSIVO À COMEMORAÇÃO DE ENCERRAMENTO DE EXERCÍCIO EM 2022",LUDAPI ALIMENTOS LTDA,,atendimento@caisgourmet.com.br,(21) 2233 2531
"PRESTAÇÃO DE SERVIÇOS PARA REALIZAÇÃO DE EVENTO INSTITUCIONAL, INCLUINDO ESPAÇO FÍSICO, BUFFET E SONORIZAÇÃO, DESTINADO AO CORPO FUNCIONAL DA EMPRESA MUNICIPAL DE INFORMÁTICA S.A - IPLANRIO, ALUSIVO À COMEMORAÇÃO DE ENCERRAMENTO DE EXERCÍCIO EM 2022",MONET CASA DE FESTAS E BUFFET,,contato@monetfesta.com.br, (21) 2117-1715 / (21) 98651-3574
"PRESTAÇÃO DE SERVIÇOS PARA REALIZAÇÃO DE EVENTO INSTITUCIONAL, INCLUINDO ESPAÇO FÍSICO, BUFFET E SONORIZAÇÃO, DESTINADO AO CORPO FUNCIONAL DA EMPRESA MUNICIPAL DE INFORMÁTICA S.A - IPLANRIO, ALUSIVO À COMEMORAÇÃO DE ENCERRAMENTO DE EXERCÍCIO EM 2022",FEEDBACK STEAKHOUSE LTDA,,belagrill.belagrill@yahoo.com.br,21 2502 4410
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS VISANDO AO FORNECIMENTO DE LICENCIAMENTO ANUAL DE SERVIÇO CONTINUADO GOOGLE APPSHEET, DE 12 (DOZE) MESES PELO FABRICANTE.",SERVIBRASIL SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA.,,denis.teixeira@servinformacion.com,(11) 981129818
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS VISANDO AO FORNECIMENTO DE LICENCIAMENTO ANUAL DE SERVIÇO CONTINUADO GOOGLE APPSHEET, DE 12 (DOZE) MESES PELO FABRICANTE.",IPNET SERVIÇOS EM NUVEM,,gabriele.oliveira@ipnet.cloud, (21) 3553 2717 / 11  94744 3990
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS VISANDO AO FORNECIMENTO DE LICENCIAMENTO ANUAL DE SERVIÇO CONTINUADO GOOGLE APPSHEET, DE 12 (DOZE) MESES PELO FABRICANTE.",GEOAMBIENTE SENSORIAMENTO REMOTO LTDA.,,fernanda.giraldeli@geoambiente.com.br, 12 3878 6400
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS VISANDO AO FORNECIMENTO DE LICENCIAMENTO ANUAL DE SERVIÇO CONTINUADO GOOGLE APPSHEET, DE 12 (DOZE) MESES PELO FABRICANTE.",GEOAMBIENTE SENSORIAMENTO REMOTO LTDA.,,tamires.ramalho@safetec.com.br,11 94708 4898
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS VISANDO AO FORNECIMENTO DE LICENCIAMENTO ANUAL DE SERVIÇO CONTINUADO GOOGLE APPSHEET, DE 12 (DOZE) MESES PELO FABRICANTE.",PPN TECNOLOGIA E INFORMÁTICA LTDA,,comercial@ppntecnologia.com.br,61 3963-0266
